Province,SARScase,SARSdeath,SARSrate
Anhui,10,0,0
Beijing,2434,147,6.04
Chongqing,3,0,0
Fujian,3,0,0
Gansu,8,1,12.5
Guangdong,1514,56,3.7
Guangxi,22,3,13.64
Guizhou,0,0,0
Hainan,0,0,0
Hebei,210,10,4.77
Hebei,210,10,4.77
Heilongjiang,0,0,0
Henan,15,0,0
Hong Kong,1755,299,17.04
Hubei,6,0,0
Hunan,6,1,16.67
Inner Mongolia,289,25,8.66
Jiangsu,7,1,14.29
Jiangxi,1,0,0
Jilin,35,3,8.58
Liaoning,3,0,0
Ningxia,6,1,16.67
Qinghai,0,0,0
Shaanxi,12,0,0
Shandong,1,0,0
Shanghai,7,2,28.58
Shanghai,7,2,28.58
Shanxi,445,20,4.5
Sichuan,17,2,11.77
Taiwan,346,37,10.7
Tianjin,176,12,6.82
Tibet,0,0,0
Xinjiang,0,0,0
Yunnan,0,0,0
Zhejiang,4,0,0
