date,state_abbr,state_full_name,positive,negative,pending,hospitalized,death,total,dateChecked
20200321,AK,Alaska,14,758,,0,,772,2020-03-21T20:00:00Z
20200321,AL,Alabama,124,28,,,0,152,2020-03-21T20:00:00Z
20200321,AR,Arkansas,118,567,154,,,839,2020-03-21T20:00:00Z
20200321,AS,American Samoa,,,,,0,0,2020-03-21T20:00:00Z
20200321,AZ,Arizona,104,240,122,,1,466,2020-03-21T20:00:00Z
20200321,CA,California,1279,11249,,,24,12528,2020-03-21T20:00:00Z
20200321,CO,Colorado,363,3317,,44,4,3680,2020-03-21T20:00:00Z
20200321,CT,Connecticut,194,2106,,,4,2300,2020-03-21T20:00:00Z
20200321,DC,Dist. of Columbia,77,506,0,,1,583,2020-03-21T20:00:00Z
20200321,DE,Delaware,45,36,,,0,81,2020-03-21T20:00:00Z
20200321,FL,Florida,658,6579,1002,158,12,8239,2020-03-21T20:00:00Z
20200321,GA,Georgia,507,2557,,,14,3064,2020-03-21T20:00:00Z
20200321,GU,Guam,15,108,,,,123,2020-03-21T20:00:00Z
20200321,HI,Hawaii,37,124,9,,,170,2020-03-21T20:00:00Z
20200321,IA,Iowa,68,1049,,,,1117,2020-03-21T20:00:00Z
20200321,ID,Idaho,31,880,,,,911,2020-03-21T20:00:00Z
20200321,IL,Illinois,759,5488,,,6,6247,2020-03-21T20:00:00Z
20200321,IN,Indiana,126,707,,1,4,833,2020-03-21T20:00:00Z
20200321,KS,Kansas,55,417,,,2,472,2020-03-21T20:00:00Z
20200321,KY,Kentucky,54,714,,,2,768,2020-03-21T20:00:00Z
20200321,LA,Louisiana,585,2180,,,16,2765,2020-03-21T20:00:00Z
20200321,MA,Massachusetts,525,4752,,61,1,5277,2020-03-21T20:00:00Z
20200321,MD,Maryland,190,94,,,2,284,2020-03-21T20:00:00Z
20200321,ME,Maine,73,2264,,,,2337,2020-03-21T20:00:00Z
20200321,MI,Michigan,787,2069,,,5,2856,2020-03-21T20:00:00Z
20200321,MN,Minnesota,138,3952,,,1,4090,2020-03-21T20:00:00Z
20200321,MO,Missouri,73,369,,,3,442,2020-03-21T20:00:00Z
20200321,MP,Northern Marianas,0,,,,0,0,2020-03-21T20:00:00Z
20200321,MS,Mississippi,140,695,,,1,835,2020-03-21T20:00:00Z
20200321,MT,Montana,20,1146,,,,1166,2020-03-21T20:00:00Z
20200321,NC,North Carolina,184,5092,,,0,5276,2020-03-21T20:00:00Z
